customer_id,full_name,email,city,signup_date,monthly_spend
101,Ana Santos,ana.santos@email.com,Manila,2023-02-14,"1,500"
102,Marco Villar,MARCO.VILLAR@EMAIL.COM,MANILA,2023-03-02,800
103,Liza Ramos,liza.ramos@email.com,Quezon City,2023-03-19,"2,300"
104,Paolo Cruz,paolo.cruz@email.com,QC,2023-04-05,"1,200"
105, Rita Gomez,rita.gomez@email.com,Cebu,2023-04-27,"3,100"
106,Dario Flores,dario.flores@email.com,Cebu ,2023-05-11,950
107,Nina Aquino,nina.aquino@email.com,Davao,2023-06-01,"2,750"
108,Carlos Reyes,,Makati,2023-06-24,"4,200"
109,Bella Marquez,bella.marquez@email.com,manila,2023-07-08,"1,050"
110,Ramon Torres,ramon.torres@email.com,Quezon City,2023-07-30,600
111,Josie Navarro,JOSIE.NAVARRO@EMAIL.COM,Cebu,2023-08-15,"1,900"
112,Alvin Castro,alvin.castro@email.com,Davao,2023-09-03,"2,050"
113,Mika Salonga,mika.salonga@email.com,Makati,2023-09-21,"3,600"
114,Gary Lucena,gary.lucena@email.com,Manila,2023-10-10,700
115,Tessa Ilagan,tessa.ilagan@email.com,Quezon city,2023-10-29,"1,450"
116,Omar Bautista,omar.bautista@email.com,Cebu,2023-11-12,"2,600"
117,Faye Del-Mundo,faye.delmundo@email.com,Davao,2023-12-02,"1,150"
118,Chito Ferrer,chito.ferrer@email.com,Makati ,2023-12-18,"5,000"
119,Wena Padilla,wena.padilla@email.com,Manila,2024-01-09,850
120,Sonny Legaspi,sonny.legaspi@email.com,QC,2024-01-27,"1,700"
121,Karen Uy,,Cebu,2024-02-13,"2,900"
122,Peter Ang,peter.ang@email.com,davao,2024-03-05,"1,300"
123,Lorna Mercado,lorna.mercado@email.com ,Makati,2024-03-22,"2,150"
124,Jun Salvador,jun.salvador@email.com,Manila ,2024-04-09,"1,000"
125,Cindy Robledo,cindy.robledo@email.com,Quezon City,2024-04-28,"3,400"
103,Liza Ramos,liza.ramos@email.com,Quezon City,2023-03-19,"2,300"
110,Ramon Torres,ramon.torres@email.com,Quezon City,2023-07-30,600
117,Faye Del-Mundo,faye.delmundo@email.com,Davao,2023-12-02,"1,150"
